board_name,channel_name,category_id,category_name
14기 공지 전용,1. 공지사항,1,교육 및 특강 안내
14기 공지 전용,1. 공지사항,2,프로젝트 및 평가
14기 공지 전용,1. 공지사항,3,이벤트 및 행사
14기 공지 전용,1. 공지사항,4,기타
14기 공지 전용,11. 라이브방송,5,라이브 방송 안내 및 공지
14기 공지 전용,11. 라이브방송,6,라이브 방송 Q&A
14기 공지 전용,11. 라이브방송,7,기타
14기 공지 전용,2. 소통,8,프로젝트 및 행사 홍보
14기 공지 전용,2. 소통,9,스터디 및 취업 정보
14기 공지 전용,2. 소통,10,캠퍼스 생활 및 분실물
14기 공지 전용,2. 소통,11,기타
14기 공지 전용,5. [취업] 공지사항,12,취업 특강 안내
14기 공지 전용,5. [취업] 공지사항,13,채용 박람회 안내
14기 공지 전용,5. [취업] 공지사항,14,기업 채용설명회 안내
14기 공지 전용,5. [취업] 공지사항,15,취업 성공 및 뉴스
14기 공지 전용,5. [취업] 공지사항,16,기타
14기 공지 전용,6. [취업] 취업정보,17,채용 공고
14기 공지 전용,6. [취업] 취업정보,18,취업 지원
14기 공지 전용,6. [취업] 취업정보,19,기타
14기 공지 전용,8. AI NEWS,20,AI 뉴스 공유
14기 공지 전용,8. AI NEWS,21,AI 기술 토론 및 정보 교환
14기 공지 전용,8. AI NEWS,22,기타
14기 공통 대전2반,공지사항,23,프로젝트 및 발표 안내
14기 공통 대전2반,공지사항,24,캠퍼스 시설 및 환경 안내
14기 공통 대전2반,공지사항,25,이벤트 및 행사 안내
14기 공통 대전2반,공지사항,26,기타
14기 공통 대전2반,잡담,27,프로젝트 및 협업
14기 공통 대전2반,잡담,28,보안 및 주의사항
14기 공통 대전2반,잡담,29,SSAFY 공지 및 안내
14기 공통 대전2반,잡담,30,기타
